bacterial_species,isolate_code,administrative_region,national_site,local_site,sample_source,replicate,colony,esbl,ampicillin_mic,ampicillin_int,amoxicillin/clavulanic_acid_mic,amoxicillin/clavulanic_acid_int,ceftaroline_mic,ceftaroline_int,cefalexin_mic,cefalexin_int,cefalotin_mic,cefalotin_int,cefpodoxime_mic,cefpodoxime_int,cefotaxime_mic,cefotaxime_int,cefovecin_mic,cefovecin_int,ceftiofur_mic,ceftiofur_int,ceftazidime/avibactam_mic,ceftazidime/avibactam_int,imepenem_mic,imepenem_int,amikacin_mic,amikacin_int,gentamicin_mic,gentamicin_int,neomycin_mic,neomycin_int,nalidixic_acid_mic,nalidixic_acid_int,enrofloxacin_mic,enrofloxacin_int,marbofloxacin_mic,marbofloxacin_int,pradofloxacin_mic,pradofloxacin_int,doxycycline_mic,doxycycline_int,tetracycline_mic,tetracycline_int,nitrofurantoin_mic,nitrofurantoin_int,chloramphenicol_mic,chloramphenicol_int,trimethoprim/sulfamethazole_mic,trimethoprim/sulfamethazole_int,scored_resistance,num_antibiotics_tested,mar_index
enterobacter_cloacae_complex,ec_pgdwr1c2,region_iii_central_luzon,pampanga,san_gabriel,drinking_water,1,2,,,,≥32,r,,,≥64,r,≥64,r,0.5,s,,s,1,s,≤1,s,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,1,s,<=1,s,64,i,4,s,≤20,s,3,20,0.15
enterobacter_cloacae_complex,ec_pgdwr1c3,region_iii_central_luzon,pampanga,san_gabriel,drinking_water,1,3,,,,≥32,r,,,≥64,r,16,*r,≤0.25,s,,s,1,s,≤1,s,,s,1,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,1,s,<=1,s,≤16,s,≤2,s,≤20,s,3,20,0.15
klebsiella_pneumoniae_ssp_pneumoniae,ec_pgdwr2c1,region_iii_central_luzon,pampanga,san_gabriel,drinking_water,2,1,neg,16,*r,≤2,s,,s,≤4,s,≤2,s,≤0.25,s,,s,1,s,≤1,s,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,1,s,<=1,s,32,s,≤2,s,≤20,s,1,22,0.0455
klebsiella_pneumoniae_ssp_pneumoniae,ec_pgdwr2c3,region_iii_central_luzon,pampanga,san_gabriel,drinking_water,2,3,neg,16,*r,≤2,s,,s,≤4,s,≤2,s,≤0.25,s,,s,1,s,≤1,s,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,1,s,<=1,s,32,s,≤2,s,≤20,s,1,22,0.0455
klebsiella_pneumoniae_ssp_pneumoniae,ec_pgdwr2c4,region_iii_central_luzon,pampanga,san_gabriel,drinking_water,2,4,neg,16,*r,≤2,s,,s,≤4,s,≤2,s,≤0.25,s,,s,1,s,≤1,s,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,1,s,<=1,s,32,s,≤2,s,≤20,s,1,22,0.0455
klebsiella_pneumoniae_ssp_pneumoniae,ec_pgdwr3c1,region_iii_central_luzon,pampanga,san_gabriel,drinking_water,3,1,neg,16,*r,≤2,s,,s,≤4,s,≤2,s,≤0.25,s,,s,≤0.5,s,≤1,s,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,1,s,<=1,s,≤16,s,≤2,s,≤20,s,1,22,0.0455
klebsiella_pneumoniae_ssp_pneumoniae,ec_pgdwr3c4,region_iii_central_luzon,pampanga,san_gabriel,drinking_water,3,4,neg,≥32,r,≤2,s,,s,≤4,s,≤2,s,≤0.25,s,,s,1,s,≤1,s,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,1,s,<=1,s,32,s,≤2,s,≤20,s,1,22,0.0455
enterobacter_cloacae_complex,ec_pgrwr1c2,region_iii_central_luzon,pampanga,san_gabriel,river_water,1,2,,,,≥32,r,,,≥64,r,≥64,r,0.5,s,,s,1,s,≤1,s,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,1,s,<=1,s,64,i,4,s,≤20,s,3,20,0.15
enterobacter_aerogenes,ec_pgrwr1c3,region_iii_central_luzon,pampanga,san_gabriel,river_water,1,3,,,,≥32,r,,s,≥64,r,16,*r,≤0.25,s,,s,1,s,≤1,s,,s,1,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,1,s,<=1,s,32,s,≤2,s,≤20,s,3,21,0.1429
klebsiella_pneumoniae_ssp_pneumoniae,ec_pgrwr1c4,region_iii_central_luzon,pampanga,san_gabriel,river_water,1,4,neg,c,r,≤2,s,,s,≤4,s,≤2,s,≤0.25,s,,s,1,s,≤1,s,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,1,s,<=1,s,32,s,≤2,s,≤20,s,1,22,0.0455
enterobacter_cloacae_complex,ec_pgrwr1c8,region_iii_central_luzon,pampanga,san_gabriel,river_water,1,8,,,,8,*r,,,16,*r,16,*r,0.5,s,,,2,s,≤1,s,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,2,s,2,s,64,i,4,s,≤20,s,3,19,0.1579
enterobacter_cloacae_complex,ec_pgrwr2c5,region_iii_central_luzon,pampanga,san_gabriel,river_water,2,5,,,,≥32,r,,,≥64,r,≥64,r,0.5,s,,s,1,s,≤1,s,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,1,s,<=1,s,64,i,4,s,≤20,s,3,20,0.15
klebsiella_pneumoniae_ssp_pneumoniae,ec_pgrwr2c6,region_iii_central_luzon,pampanga,san_gabriel,river_water,2,6,neg,16,*r,≤2,s,,s,≤4,s,≤2,s,≤0.25,s,,s,1,s,≤1,s,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,1,s,<=1,s,64,i,≤2,s,≤20,s,1,22,0.0455
klebsiella_pneumoniae_ssp_pneumoniae,ec_pgrwr3c1,region_iii_central_luzon,pampanga,san_gabriel,river_water,3,1,neg,16,*r,≤2,s,,s,≤4,s,≤2,s,≤0.25,s,,s,1,s,≤1,s,,s,≤0.25,s,≤2,s,≤1,s,≤2,s,,,≤0.12,s,≤0.5,s,≤0.12,s,1,s,<=1,s,≤16,s,≤2,s,≤20,s,1,22,0.0455
